ASV	Phylum	Order	Family	Reject	Statistic	rawpvalue	Status	HostSpecies	RelativeAbundance	Study
7ca990e294ed55f67978d720b02b9925	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-26.34107468	1.00E-04	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
066a10ba300fdecda82a7ab40b0b9cb3	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-19.84744991	1.00E-04	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
03215ff2576590b8bfb84e34160bd890	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-15.01214329	0.00379962	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
818370b51c5a815d0514ff620ca996dc	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-13.86004857	0.00039996	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
dc6ae08657c6ddc998f5ae806ab8934f	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-12.83014572	0.01539846	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
0f404d2d31dd7d431882c3846c20ba8d	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-12.04462659	0.00329967	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
164a6df8fe31ac71808de77e48ec91b5	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	-10.21174863	0.01869813	higherinclean	Apodemus_flavicollis	0.005003317	Chernobyl
da1ffc7cfb857dfdbeecfe7b8eb2efef	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	8.745446266	0.00209979	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
55fc47b8600acd7aec868f5ac443f0ac	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	11.03217972	0.00509949	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
b0c416dd902c41b5672bd0ddc55ee3d2	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	12.07953855	0.01869813	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
9c4a1d0c4c30fb6580dbf881bb79e94c	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	12.77777778	0.00019998	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
283f835321c660f3afd33edd88c984af	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	16.4435337	0.00259974	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
06538b77450f85903962437f449fa60a	p_Actinobacteria	o_Coriobacteriales	f_Coriobacteriaceae	TRUE	18.62553127	0.00219978	higherinhot	Apodemus_flavicollis	0.005003317	Chernobyl
9336e93eaddc665858385be68feba3df	p_Bacteroidetes	o_Bacteroidales	o_Bacteroidales_f_	TRUE	-15.66653846	0.00349965	higherinclean	Apodemus_speciosus	0.005877568	Fukushima
4ddf46345489339917591724aa594bb3	p_Proteobacteria	o_Campylobacterales	f_Helicobacteraceae	TRUE	15.39617486	0.00159984	higherinhot	Apodemus_flavicollis	0.006549961	Chernobyl
4ddf46345489339917591724aa594bb3	p_Proteobacteria	o_Campylobacterales	f_Helicobacteraceae	TRUE	6.230769231	0.00539946	higherinhot	Apodemus_sylvaticus	0.007078907	Chernobyl
e6595daff5e44890a7b60871b69a9f49	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	-16.00713418	0.00869913	higherinclean	Apodemus_flavicollis	0.007514039	Chernobyl
7df05ac6572237091a3671db54160868	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	-15.06451123	0.00909909	higherinclean	Apodemus_flavicollis	0.007514039	Chernobyl
84683dec665a42cc7b2609aa7dd8b27d	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	8.518518519	0.00169983	higherinhot	Apodemus_flavicollis	0.007514039	Chernobyl
cf4ee18229525e2e3f535c9b544068c1	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	9.583333333	0.00069993	higherinhot	Apodemus_flavicollis	0.007514039	Chernobyl
1b1dd443e804f39c2ff35146c5e85633	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	10.9623558	0.00529947	higherinhot	Apodemus_flavicollis	0.007514039	Chernobyl
0f9e26080f299114a4b3c5ea0f53e264	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	12.77777778	0.00059994	higherinhot	Apodemus_flavicollis	0.007514039	Chernobyl
218d7dd7eff52970744b8f1e3fd91ba8	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	12.98724954	0.00049995	higherinhot	Apodemus_flavicollis	0.007514039	Chernobyl
2c545231aacaf1d8c6b3f8f8930d4363	p_Proteobacteria	o_Desulfovibrionales	f_Desulfovibrionaceae	TRUE	14.77807692	0.00629937	higherinhot	Apodemus_speciosus	0.009771334	Fukushima
fc29944e54c9bf5c05a8a265a4c1900f	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	-15.32635094	0.00109989	higherinclean	Apodemus_flavicollis	0.009883033	Chernobyl
c3ac1f2e50541b9347eab8962a02743f	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	-14.13934426	1.00E-04	higherinclean	Apodemus_flavicollis	0.009883033	Chernobyl
492ba71b1cb6eff35555c9034cf2bb98	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	-9.146933819	0.00479952	higherinclean	Apodemus_flavicollis	0.009883033	Chernobyl
79b9df18eed54f01009abc21b6c5550a	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	-8.727990285	0.02879712	higherinclean	Apodemus_flavicollis	0.009883033	Chernobyl
b919c492306ee5f95705a0b38cdb0235	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	-5.655737705	0.02769723	higherinclean	Apodemus_flavicollis	0.009883033	Chernobyl
99802a0207fe6a2e7b8df2a5f728787e	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	5.324074074	0.02019798	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
061861338597d15c261a6de432691b8f	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	5.324074074	0.02039796	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
db86f6dd474006899bca98c2efe0f79a	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	5.324074074	0.0189981	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
aef91bfdc31aa260bb040dece0169955	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	6.528536733	0.01649835	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
83675d30639c20d61e9f59c2b956ee5b	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	7.453703704	0.00419958	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
97b90d56b058495d06a3d2d0e6ee4938	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	14.13934426	0.00119988	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
e430cb7e31213315b9525d1209e29590	p_Firmicutes	o_Clostridiales	o_Clostridiales_	TRUE	14.80267152	1.00E-04	higherinhot	Apodemus_flavicollis	0.009883033	Chernobyl
fdc506bbcfa8d4d436dbbb4e82c8186f	p_Bacteroidetes	o_Bacteroidales	f_Rikenellaceae	TRUE	-16.28846154	0.00179982	higherinclean	Apodemus_speciosus	0.014072443	Fukushima
