SampleID	bodycondition	TotalDRmGydCs134forFUKU	ObservedASVs	ShannonIndex	FaithPD	Treatment	TreatmentAll	ApodemusSpeciesTreatment	Replicate	HostSex	Latitude	Longitude	HeadWidthmm	BodyMassg	HostState	HostSpecies	ApodemusSpecies	Study	FBratio
C131	-0.257662981	0.5975	229	6.324823126	12.11113118	contaminated	contaminated	SylvaticusHOT	CH2	female	51.44957	30.06264	13.35	18.4	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	1.983778913
C133	0.756538106	0.4293	166	4.952485131	9.843846153	contaminated	contaminated	SylvaticusHOT	CH2	male	51.44738	30.06744	12.97	22.75	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.410862355
C140	2.28521186	0.0049	91	4.175256596	7.928380569	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.203408	30.159232	12.79	29.89	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.050322711
C141	1.899317996	0.004	174	5.323627358	10.80787041	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.204032	30.164203	14.7	45.55	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.273781026
C142	0.977322937	0.0048	227	6.050881391	11.93334795	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	male	51.204032	30.164203	13.19	24.18	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.752725291
C143	1.046455456	0.0046	87	4.64096919	7.7611729	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.204032	30.164203	13.48	35.02	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.063490419
C146	1.904420641	0.0091	185	5.223409744	11.4991742	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.212882	30.203623	15.34	48.51	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.393979058
C147	0.471729241	0.0067	123	5.211474297	9.706478643	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.163543	30.00441	16.37	45.1	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.164787409
C148	-0.948870747	0.0066	97	4.648253763	7.599713	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.15997	29.992631	14.16	26.84	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.07504095
C155	-0.261410629	1.7757	145	5.325996136	9.704837169	contaminated	contaminated	FlavicollisHOT	CH1	male	51.38266	30.0434	15.09	35.05	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.100059559
C157	-0.07920745	0.2879	190	5.675602327	11.96748389	contaminated	contaminated	FlavicollisHOT	CH1	female	51.386747	30.063899	14.26	32.25	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.122484311
C160	1.342222266	0.267	153	5.288056392	9.89951783	contaminated	contaminated	FlavicollisHOT	CH1	female	51.386747	30.063899	12.88	33.86	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.199231086
C163	0.858418417	1.2873	169	6.016184259	11.71192879	contaminated	contaminated	FlavicollisHOT	CH1	male	51.381883	30.037636	12.99	31.66	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.354287217
C164	-0.119331466	0.2961	169	5.329520899	12.04905381	contaminated	contaminated	FlavicollisHOT	CH1	male	51.386747	30.063899	11.09	17.41	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.205287356
C171	0.149052899	1.1803	138	5.514856692	10.23142264	contaminated	contaminated	FlavicollisHOT	CH1	female	51.381883	30.037636	13.56	30.31	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.109281437
C172	1.844398474	0.0107	135	4.526941482	9.56847529	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.212497	30.211561	12.73	35.96	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.131342638
C173	1.044462391	0.0087	114	4.342439298	8.568121347	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.212497	30.211561	13.38	34.54	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.235286994
C174	3.130207015	0.005	202	6.093460553	13.35375205	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	female	51.157146	29.985035	12.19	40.47	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.397527004
C175	0.38189225	0.0115	167	5.028561138	8.950237113	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.212497	30.211561	13.14	21.19	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.291676988
C176	2.058681842	0.0087	136	4.893002473	10.18145209	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212497	30.211561	14.77	46.78	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.182460137
C177	3.267823362	0.0067	160	5.344956003	10.99386114	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	female	51.203282	30.151623	13.2	46.24	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.325239351
C178	1.456325093	0.0067	187	5.103340502	11.19315351	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.203282	30.151623	12.48	25.25	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.420131919
C179	-0.700285288	0.0068	176	4.921004717	11.32509437	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.203282	30.151623	14.48	29.73	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.481922197
C180	0.533545655	0.0083	88	4.144067766	7.019474673	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	male	51.212865	30.192893	13.73	22.81	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.060677376
C181	0.140732386	0.4042	341	7.032338274	16.28619229	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385139	30.038926	12.97	27.53	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	1.043377553
C182	-0.72067662	0.0084	124	5.176036239	7.875251856	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	male	51.212865	30.192893	13.43	16.28	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.50458983
C183	-1.057318464	0.0089	58	4.192731511	5.301464978	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.212865	30.192893	13.02	13.96	juv	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.072886598
C184	-0.744708795	0.0084	78	4.321732739	5.971579383	uncontaminated	uncontaminated	SylvaticusCLEAN	CL2	female	51.212865	30.192893	14.18	17.58	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.065441565
C185	0.023620699	0.0044	187	6.245024088	12.24410602	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.144595	29.952918	15.12	36.81	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	1.434489902
C187	-1.273719899	0.0087	130	4.835520206	9.031726191	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212865	30.192893	14.84	28.13	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.121026091
C188	-0.775310442	0.3454	210	5.410923337	12.97324228	contaminated	contaminated	FlavicollisHOT	CH1	male	51.385139	30.038926	15.25	32.87	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.274113009
C189	0.101366592	0.2592	172	5.756406542	10.3681798	contaminated	contaminated	FlavicollisHOT	CH1	male	51.378848	29.991848	14.81	35.82	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.244833455
C190	-2.028305338	0.0072	161	5.418348455	9.802149027	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212865	30.192893	14.3	21.34	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.202417962
