SampleID	AmbientRadiation	Treatment	TreatmentAll	Replicate	HostSex	HostHeadW	HostBodyM	HostSpecies	Study
1	0.18	uncontaminated	uncontaminated	CL1	male	12.46	26.23	MyodesGlareolus	Chernobyl
2	0.18	uncontaminated	uncontaminated	CL1	male	12.37	21.68	MyodesGlareolus	Chernobyl
3	0.18	uncontaminated	uncontaminated	CL1	male	12.99	25.79	MyodesGlareolus	Chernobyl
4	0.25	uncontaminated	uncontaminated	CL2	female	13.35	22.94	MyodesGlareolus	Chernobyl
8	0.25	uncontaminated	uncontaminated	CL2	male	13.03	23.49	MyodesGlareolus	Chernobyl
10	0.18	uncontaminated	uncontaminated	CL1	female	13.6	25.93	MyodesGlareolus	Chernobyl
12	49.12	contaminated	contaminated	CH1	male	13.19	20.21	MyodesGlareolus	Chernobyl
14	0.32	uncontaminated	uncontaminated	CL1	male	13.06	28.74	MyodesGlareolus	Chernobyl
15	0.32	uncontaminated	uncontaminated	CL1	male	12.68	26.21	MyodesGlareolus	Chernobyl
19	24.17	contaminated	contaminated	CH1	male	12.97	21.26	MyodesGlareolus	Chernobyl
20	13.86	contaminated	contaminated	CH1	male	14.28	28.59	MyodesGlareolus	Chernobyl
21	26.61	contaminated	contaminated	CH1	male	13.3	29.5	MyodesGlareolus	Chernobyl
25	198.74	contaminated	contaminated	CH1	female	12.01	31.73	MyodesGlareolus	Chernobyl
26	123.18	contaminated	contaminated	CH1	male	12.1	21.91	MyodesGlareolus	Chernobyl
32	0.24	uncontaminated	uncontaminated	CL1	female	12.75	18.01	MyodesGlareolus	Chernobyl
34	0.32	uncontaminated	uncontaminated	CL1	female	12.87	21.65	MyodesGlareolus	Chernobyl
35	0.18	uncontaminated	uncontaminated	CL1	male	12.08	21.46	MyodesGlareolus	Chernobyl
36	0.32	uncontaminated	uncontaminated	CL1	female	12.68	30.3	MyodesGlareolus	Chernobyl
37	0.32	uncontaminated	uncontaminated	CL1	male	12.66	28.85	MyodesGlareolus	Chernobyl
38	0.27	uncontaminated	uncontaminated	CL2	male	13.11	26.86	MyodesGlareolus	Chernobyl
39	0.31	uncontaminated	uncontaminated	CL2	male	11.9	22.77	MyodesGlareolus	Chernobyl
40	0.31	uncontaminated	uncontaminated	CL2	female	13.41	28.26	MyodesGlareolus	Chernobyl
41	0.31	uncontaminated	uncontaminated	CL2	male	12.52	25.58	MyodesGlareolus	Chernobyl
42	0.27	uncontaminated	uncontaminated	CL2	male	12.52	27.42	MyodesGlareolus	Chernobyl
44	0.31	uncontaminated	uncontaminated	CL2	male	12.5	23.66	MyodesGlareolus	Chernobyl
51	0.27	uncontaminated	uncontaminated	CL2	male	12.5	26.67	MyodesGlareolus	Chernobyl
53	0.27	uncontaminated	uncontaminated	CL2	male	12.94	30.29	MyodesGlareolus	Chernobyl
56	0.27	uncontaminated	uncontaminated	CL2	male	12.53	20.79	MyodesGlareolus	Chernobyl
60	0.27	uncontaminated	uncontaminated	CL2	male	13.1	28.19	MyodesGlareolus	Chernobyl
